fecha,anho,mes,dia,dia_semana,festivo
01/10/2015,2015,10,1,5,0
02/10/2015,2015,10,2,6,0
03/10/2015,2015,10,3,7,0
04/10/2015,2015,10,4,1,0
05/10/2015,2015,10,5,2,0
06/10/2015,2015,10,6,3,0
07/10/2015,2015,10,7,4,0
08/10/2015,2015,10,8,5,0
09/10/2015,2015,10,9,6,0
10/10/2015,2015,10,10,7,0
11/10/2015,2015,10,11,1,0
12/10/2015,2015,10,12,2,0
13/10/2015,2015,10,13,3,0
14/10/2015,2015,10,14,4,0
15/10/2015,2015,10,15,5,0
16/10/2015,2015,10,16,6,0
17/10/2015,2015,10,17,7,0
18/10/2015,2015,10,18,1,0
19/10/2015,2015,10,19,2,0
20/10/2015,2015,10,20,3,0
21/10/2015,2015,10,21,4,0
22/10/2015,2015,10,22,5,0
23/10/2015,2015,10,23,6,0
24/10/2015,2015,10,24,7,0
25/10/2015,2015,10,25,1,0
26/10/2015,2015,10,26,2,0
27/10/2015,2015,10,27,3,0
28/10/2015,2015,10,28,4,0
29/10/2015,2015,10,29,5,0
30/10/2015,2015,10,30,6,0
31/10/2015,2015,10,31,7,0
01/11/2015,2015,11,1,1,0
02/11/2015,2015,11,2,2,0
03/11/2015,2015,11,3,3,0
04/11/2015,2015,11,4,4,0
05/11/2015,2015,11,5,5,0
06/11/2015,2015,11,6,6,0
07/11/2015,2015,11,7,7,0
08/11/2015,2015,11,8,1,0
09/11/2015,2015,11,9,2,0
10/11/2015,2015,11,10,3,0
11/11/2015,2015,11,11,4,0
12/11/2015,2015,11,12,5,0
13/11/2015,2015,11,13,6,0
14/11/2015,2015,11,14,7,0
15/11/2015,2015,11,15,1,0
16/11/2015,2015,11,16,2,0
17/11/2015,2015,11,17,3,0
18/11/2015,2015,11,18,4,0
19/11/2015,2015,11,19,5,0
20/11/2015,2015,11,20,6,0
21/11/2015,2015,11,21,7,0
22/11/2015,2015,11,22,1,0
23/11/2015,2015,11,23,2,0
24/11/2015,2015,11,24,3,0
25/11/2015,2015,11,25,4,0
26/11/2015,2015,11,26,5,0
27/11/2015,2015,11,27,6,0
28/11/2015,2015,11,28,7,0
29/11/2015,2015,11,29,1,0
30/11/2015,2015,11,30,2,0
01/12/2015,2015,12,1,3,0
02/12/2015,2015,12,2,4,0
03/12/2015,2015,12,3,5,0
04/12/2015,2015,12,4,6,0
05/12/2015,2015,12,5,7,0
06/12/2015,2015,12,6,1,0
07/12/2015,2015,12,7,2,0
08/12/2015,2015,12,8,3,0
09/12/2015,2015,12,9,4,0
10/12/2015,2015,12,10,5,0
11/12/2015,2015,12,11,6,0
12/12/2015,2015,12,12,7,0
13/12/2015,2015,12,13,1,0
14/12/2015,2015,12,14,2,0
15/12/2015,2015,12,15,3,0
16/12/2015,2015,12,16,4,0
17/12/2015,2015,12,17,5,0
18/12/2015,2015,12,18,6,0
